=== Bump-family DE Ablation ===
popsize=15 maxiter=20 seed=42
output=results_bump_opt_baseline

  eval 156: rowp=4268.1 feas=True
  eval 157: rowp=4264.1 feas=True
  eval 158: rowp=4270.2 feas=True
  eval 159: rowp=4255.4 feas=True
  eval 160: rowp=4260.8 feas=False
  eval 161: rowp=4263.7 feas=False
  eval 162: rowp=4261.7 feas=False
  eval 163: rowp=4265.6 feas=True
  eval 164: rowp=4250.7 feas=True
  eval 165: rowp=4258.7 feas=True
  eval 166: rowp=4263.8 feas=True
  eval 167: rowp=4263.4 feas=True
  eval 168: rowp=4263.0 feas=True
  eval 169: rowp=4265.1 feas=True
  eval 170: rowp=4265.1 feas=False
  eval 171: rowp=4265.2 feas=True
  eval 172: rowp=4264.1 feas=False
  eval 173: rowp=4260.3 feas=True
  eval 174: rowp=4264.7 feas=False
  eval 175: rowp=4266.3 feas=True
  eval 176: rowp=4262.7 feas=True
  eval 177: rowp=4267.9 feas=True
  eval 178: rowp=4262.3 feas=True
  eval 179: rowp=4264.9 feas=False
  eval 180: rowp=4262.9 feas=False
  eval 181: rowp=4247.1 feas=True
  eval 182: rowp=4209.3 feas=True
  eval 183: rowp=4267.6 feas=True
  eval 184: rowp=4230.9 feas=True
  eval 185: rowp=4261.2 feas=True
  eval 186: rowp=4256.0 feas=True
  eval 187: rowp=4255.7 feas=True
  eval 188: rowp=4264.3 feas=True
  eval 189: rowp=4263.7 feas=True
  eval 190: rowp=4236.9 feas=False
  eval 191: rowp=4258.3 feas=True
  eval 192: rowp=4260.0 feas=True
  eval 193: rowp=4267.6 feas=True
  eval 194: rowp=4262.2 feas=True
  eval 195: rowp=4267.1 feas=True
  eval 196: rowp=4255.1 feas=False
  eval 197: rowp=4257.7 feas=True
  eval 198: rowp=4252.6 feas=True
  eval 199: rowp=4265.5 feas=True
  eval 200: rowp=4260.4 feas=True
  eval 201: rowp=4258.7 feas=True
